publisher,year,set,subset,type,id,side1,strokes,side1p,side2,side2b,side2p,lang
無,其他,部首,一畫,部首,1,乙,1,,也,乙,,
無,其他,部首,一畫,部首,2,一,1,,上,一,,
無,其他,部首,一畫,部首,3,亅,1,,了,亅,,
無,其他,部首,一畫,部首,4,丶,1,,主,丶,,
無,其他,部首,七畫,部首,1,缶,7,,缸,缶,,
無,其他,部首,七畫,部首,2,酉,7,,酒,酉,,
無,其他,部首,七畫,部首,3,里,7,,重,里,,
無,其他,部首,七畫,部首,4,見,7,,見,見,,
無,其他,部首,七畫,部首,5,車,7,,輕,車,,
無,其他,部首,七畫,部首,6,身,7,,身,身,,
無,其他,部首,七畫,部首,7, ⻊,7,足,路,足,,
無,其他,部首,七畫,部首,8,走,7,,起,走,,
無,其他,部首,三畫,部首,1,扌,3,ㄕㄡˇ,拍,手,,
無,其他,部首,三畫,部首,2,工,3,,左,工,,
無,其他,部首,三畫,部首,3,口,3,,右,口,,
無,其他,部首,三畫,部首,4,女,3,,好,女,,
無,其他,部首,三畫,部首,5,夕,3,,多,夕,,
無,其他,部首,三畫,部首,6,己,3,,己,己,,
無,其他,部首,三畫,部首,7,攵,3,撲,放,攴,撲,zh-CN
無,其他,部首,三畫,部首,8,广,3,眼,床,广,眼,
無,其他,部首,三畫,部首,9,弓,3,,弟,弓,,
無,其他,部首,三畫,部首,10,巾,3,,幫,巾,,
無,其他,部首,三畫,部首,11,尢,3,汪,就,尢,汪,
無,其他,部首,三畫,部首,12,宀,3,,完,宀,,
無,其他,部首,三畫,部首,13,囗,3,,園,囗,,
無,其他,部首,三畫,部首,14,凵,3,,出,凵,,
無,其他,部首,三畫,部首,15,彡,3,,彩,彡,,
無,其他,部首,三畫,部首,16,土,3,,在,土,,
無,其他,部首,三畫,部首,17,彳,3,,從,彳,,
無,其他,部首,三畫,部首,18, 阝,3,邑,那,邑,,
無,其他,部首,三畫,部首,19,阝 ,3,阜,陪,阜,,
無,其他,部首,三畫,部首,20,山,3,,山,山,,
無,其他,部首,三畫,部首,21,大,3,,大,大,,
無,其他,部首,三畫,部首,22,氵,3,水,海,水,,
無,其他,部首,三畫,部首,23,子,3,,子,子,,
無,其他,部首,三畫,部首,24,小,3,,小,小,,
無,其他,部首,九畫,部首,1,面,9,,面,面,,
無,其他,部首,九畫,部首,2,音,9,,音,音,,
無,其他,部首,九畫,部首,3,革,9,,鞋,革,,
無,其他,部首,九畫,部首,4,香,9,,香,香,,
無,其他,部首,九畫,部首,5,風,9,,風,風,,
無,其他,部首,九畫,部首,6,頁,9,,頭,頁,,
無,其他,部首,二畫,部首,1,亻,2,ㄖㄣˊ,你,人,,
無,其他,部首,二畫,部首,2,刀,2,,分,刀,,
無,其他,部首,二畫,部首,3,卜,2,,卡,卜,,
無,其他,部首,二畫,部首,4,力,2,,加,力,,
無,其他,部首,二畫,部首,5,亠,2,,享,亠,,
無,其他,部首,二畫,部首,6,儿,2,人,先,儿,人,
無,其他,部首,二畫,部首,7,冂,2,,再,冂,,
無,其他,部首,二畫,部首,8,厶,2,,去,厶,,
無,其他,部首,二畫,部首,9,匕,2,,化,匕,,
無,其他,部首,二畫,部首,10,十,2,,千,十,,
無,其他,部首,二畫,部首,11,又,2,,友,又,,
無,其他,部首,二畫,部首,12,入,2,,兩,入,,
無,其他,部首,五畫,部首,1,白,5,,的,白,,
無,其他,部首,五畫,部首,2,生,5,,生,生,,
無,其他,部首,五畫,部首,3,矢,5,,短,矢,,
無,其他,部首,五畫,部首,4,穴,5,,空,穴,,
無,其他,部首,五畫,部首,5,母,5,毋,每,毋,,
無,其他,部首,五畫,部首,6,比,5,,比,比,,
無,其他,部首,五畫,部首,7, 衤,5,,裡,衣,,
無,其他,部首,五畫,部首,8,禾,5,,秋,禾,,
無,其他,部首,五畫,部首,9,目,5,,看,目,,
無,其他,部首,八畫,部首,1,金,8,,金,金,,
無,其他,部首,八畫,部首,2,非,8,,靠,非,,
無,其他,部首,八畫,部首,3,雨,8,,雲,雨,,
無,其他,部首,八畫,部首,4,長,8,,長,長,,
無,其他,部首,八畫,部首,5,隹,8,,隻,隹,,
無,其他,部首,八畫,部首,6,青,8,,青,青,,
無,其他,部首,八畫,部首,7,門,8,,開,門,,
無,其他,部首,六畫,部首,1,言,6,,誰,言,,
無,其他,部首,六畫,部首,2,自,6,,自,自,,
無,其他,部首,六畫,部首,3,米,7,,糖,米,,
無,其他,部首,六畫,部首,4,舟,6,,船,舟,,
無,其他,部首,六畫,部首,5,襾,6,婭,要,襾,婭,
無,其他,部首,六畫,部首,6,耳,6,,聽,耳,,
無,其他,部首,六畫,部首,7,竹,6,,箏,竹,,
無,其他,部首,六畫,部首,8, 糹,6,糸,紅,糸,,
無,其他,部首,六畫,部首,9,虫,6,毀,蛙,虫,毀,
無,其他,部首,十一畫,部首,1,魚,11,,魚,魚,,
無,其他,部首,十一畫,部首,2,鳥,11,,鳥,鳥,,
無,其他,部首,十一畫,部首,3,麻,11,,麼,麻,,
無,其他,部首,十二畫,部首,1,黑,12,,黑,黑,,
無,其他,部首,十畫,部首,1,馬,10,,馬,馬,,
無,其他,部首,十畫,部首,2,高,10,,高,高,,
無,其他,部首,四畫,部首,1,辶,4,辵,這,辵,,
無,其他,部首,四畫,部首,2,日,4,,是,日,,
無,其他,部首,四畫,部首,3,戈,4,,我,戈,,
無,其他,部首,四畫,部首,4,方,4,,於,方,,
無,其他,部首,四畫,部首,5,片,4,,片,片,,
無,其他,部首,四畫,部首,6,火,4,,燈,火,,
無,其他,部首,四畫,部首,7,⺼,4,肉,脱,肉,,
無,其他,部首,四畫,部首,8,父,4,,爸,父,,
無,其他,部首,四畫,部首,9,止,4,,正,止,,
無,其他,部首,四畫,部首,10,欠,4,,歌,欠,,
無,其他,部首,四畫,部首,11,斤,4,,新,斤,,
無,其他,部首,四畫,部首,12,礻,4,,神,示,,
無,其他,部首,四畫,部首,13,艹,4,,花,艸,,
無,其他,部首,四畫,部首,14,木,4,,朵,木,,
無,其他,部首,四畫,部首,15,𤣩,4,玉,玩,玉,,
無,其他,部首,四畫,部首,16,月,4,,朋,月,,
無,其他,部首,四畫,部首,17,心,4,,心,心,,
康軒,112學年,一年上,第一課,,1,拍,8,,拍,球拍,,
康軒,112學年,一年上,第一課,,2,手,4,,手,雙手,,
康軒,112學年,一年上,第一課,,3,左,5,,左,左手,,
康軒,112學年,一年上,第一課,,4,右,5,,右,右邊,,
康軒,112學年,一年上,第一課,,5,你,7,,你,你們,,
康軒,112學年,一年上,第一課,,6,他,5,,他,他們,,
康軒,112學年,一年上,第一課,,7,也,3,,也,也是,,
康軒,112學年,一年上,第一課,,8,上,3,,上,上樓,,
康軒,112學年,一年上,第一課,,9,下,3,,下,樓下,,
康軒,112學年,一年上,第六課,,1,路,13,,路,路人,,
康軒,112學年,一年上,第六課,,2,長,8,,長,長遠,,
康軒,112學年,一年上,第六課,,3,白,5,,白,白沙,,
康軒,112學年,一年上,第六課,,4,花,8,,花,櫻花,,
康軒,112學年,一年上,第六課,,5,紅,9,,紅,紅包,,
康軒,112學年,一年上,第六課,,6,走,7,,走,走路,,
康軒,112學年,一年上,第六課,,7,在,6,,在,在家,,
康軒,112學年,一年上,第六課,,8,向,6,,向,方向,,
康軒,112學年,一年上,第六課,,9,說,14,,說,說話,,
康軒,112學年,一年上,第六課,,10,朵,6,,朵,一󠇢朵,,
康軒,112學年,一年上,第六課,,11,從,11,,從,跟從,,
康軒,112學年,一年上,第六課,,12,頭,16,,頭,頭髮,,
